26	6	27	0	0
38	8	39	0	0
42	10	43	0	0
46	6	27	0	0
71	13	72	0	0
96	2	97	0	0
100	2	101	0	0
163	2	164	0	0
177	8	178	0	0
193	2	194	0	0
203	6	27	0	0
206	2	207	0	0
210	15	131	0	0
219	2	220	0	0
223	6	27	0	0
237	6	27	0	0
267	6	27	0	0
268	6	27	0	0
284	2	285	0	0
290	2	291	0	0
353	6	27	0	0
379	8	380	0	0
386	2	387	0	0
401	15	402	0	0
407	6	27	0	0
408	6	27	0	0
418	6	419	0	0
464	18	465	0	0
466	6	27	0	0
490	2	491	0	0
492	6	27	0	0
501	15	502	0	0
514	6	27	0	0
522	6	27	0	0
530	8	531	0	0
550	15	131	0	0
555	2	556	0	0
559	8	560	0	0
568	2	569	0	0
574	6	575	0	0
577	2	194	0	0
607	2	97	0	0
610	6	27	0	0
624	6	27	0	0
631	13	632	0	0
676	6	27	0	0
682	6	27	0	0
696	2	97	0	0
698	10	699	0	0
700	2	701	0	0
469	2	722	0	0
736	2	737	0	0
752	6	27	0	0
795	6	27	0	0
798	2	491	0	0
821	2	822	0	0
836	0	837	0	0
843	6	27	0	0
854	6	27	0	0
856	6	27	0	0
859	8	860	0	0
862	15	863	0	0
866	10	867	0	0
877	21	878	0	0
891	2	892	0	0
902	2	903	0	0
913	6	27	0	0
916	6	27	0	0
507	2	569	0	0
950	6	27	0	0
965	6	27	0	0
967	2	220	0	0
968	2	969	0	0
987	8	988	0	0
862	2	863	0	0
997	2	97	0	0
998	2	999	0	0
71	13	1005	0	0
1012	2	722	0	0
1017	2	1018	0	0
1019	21	1020	0	0
1023	6	27	0	0
1032	2	491	0	0
1033	6	27	0	0
1034	8	1035	0	0
1046	6	27	0	0
1084	12	1085	0	0
1094	6	27	0	0
1095	6	27	0	0
1105	6	27	0	0
1113	6	27	0	0
1121	0	1122	0	0
1133	6	27	0	0
1136	6	27	0	0
749	2	722	0	0
1157	2	220	0	0
1162	8	1163	0	0
1180	6	27	0	0
1181	2	101	0	0
1194	2	220	0	0
1197	2	1198	0	0
1214	10	1215	0	0
1216	2	1217	0	0
1231	0	255	0	0
1282	15	1283	0	0
1291	6	1292	0	0
1301	6	1292	0	0
1302	0	1303	0	0
1304	6	27	0	0
646	2	822	0	0
