26	6	27	0
38	8	39	0
42	10	43	0
46	6	27	0
71	13	72	0
96	2	97	0
100	2	101	0
163	2	164	0
177	8	178	0
193	2	194	0
203	6	27	0
206	2	207	0
210	15	131	0
219	2	220	0
223	6	27	0
237	6	27	0
267	6	27	0
268	6	27	0
284	2	285	0
290	2	291	0
353	6	27	0
379	8	380	0
386	2	387	0
401	15	402	0
407	6	27	0
408	6	27	0
418	6	419	0
464	18	465	0
466	6	27	0
490	2	491	0
492	6	27	0
501	15	502	0
514	6	27	0
522	6	27	0
530	8	531	0
550	15	131	0
555	2	556	0
559	8	560	0
568	2	569	0
574	6	575	0
577	2	194	0
607	2	97	0
610	6	27	0
624	6	27	0
631	13	632	0
676	6	27	0
682	6	27	0
696	2	97	0
698	10	699	0
700	2	701	0
469	2	722	0
736	2	737	0
752	6	27	0
795	6	27	0
798	2	491	0
821	2	822	0
836	0	837	0
843	6	27	0
854	6	27	0
856	6	27	0
859	8	860	0
862	15	863	0
866	10	867	0
877	21	878	0
891	2	892	0
902	2	903	0
913	6	27	0
916	6	27	0
507	2	569	0
950	6	27	0
965	6	27	0
967	2	220	0
968	2	969	0
987	8	988	0
862	2	863	0
997	2	97	0
998	2	999	0
71	13	1005	0
1012	2	722	0
1017	2	1018	0
1019	21	1020	0
1023	6	27	0
1032	2	491	0
1033	6	27	0
1034	8	1035	0
1046	6	27	0
1084	12	1085	0
1094	6	27	0
1095	6	27	0
1105	6	27	0
1113	6	27	0
1121	0	1122	0
1133	6	27	0
1136	6	27	0
749	2	722	0
1157	2	220	0
1162	8	1163	0
1180	6	27	0
1181	2	101	0
1194	2	220	0
1197	2	1198	0
1214	10	1215	0
1216	2	1217	0
1231	0	255	0
1282	15	1283	0
1291	6	1292	0
1301	6	1292	0
1302	0	1303	0
1304	6	27	0
646	2	822	0
1319	2	1320	0
1323	2	1324	0
1342	6	27	0
1348	2	1349	0
1361	6	419	0
1369	2	1064	0
1380	6	27	0
689	2	1349	0
1393	6	27	0
1428	2	722	0
1455	8	1456	0
1460	2	701	0
1495	13	1496	0
1504	6	27	0
1511	2	1018	0
1521	6	27	0
648	2	491	0
1523	6	575	0
1525	2	999	0
1526	2	1527	0
1531	2	220	0
1563	6	27	0
1591	2	569	0
1613	0	1614	0
1621	8	1622	0
1625	15	1587	0
1632	2	220	0
1646	6	27	0
1647	2	1648	0
103	2	1665	0
1671	6	27	0
1564	6	27	0
1672	6	27	0
1692	2	1693	0
1717	6	27	0
939	2	220	0
1731	2	1273	0
